timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1542234672379,90,BeanShell Sampler,200,OK,Thread Group 1-5,text,true,,0,0,8,8,null,0,0,0
1542234672390,89,BeanShell Sampler,200,OK,Thread Group 1-6,text,true,,0,0,8,8,null,0,0,0
1542234672391,90,BeanShell Sampler,200,OK,Thread Group 1-10,text,true,,0,0,8,8,null,0,0,0
1542234672395,91,BeanShell Sampler,200,OK,Thread Group 1-3,text,true,,0,0,8,8,null,0,0,0
1542234672423,88,BeanShell Sampler,200,OK,Thread Group 1-7,text,true,,0,0,8,8,null,0,0,0
1542234672433,89,BeanShell Sampler,200,OK,Thread Group 1-4,text,true,,0,0,8,8,null,0,0,0
1542234672433,93,BeanShell Sampler,200,OK,Thread Group 1-8,text,true,,0,0,8,8,null,0,0,0
1542234672462,86,BeanShell Sampler,200,OK,Thread Group 1-9,text,true,,0,0,8,8,null,0,0,0
1542234672469,82,BeanShell Sampler,200,OK,Thread Group 1-5,text,true,,0,0,8,8,null,0,0,0
1542234672480,83,BeanShell Sampler,200,OK,Thread Group 1-6,text,true,,0,0,8,8,null,0,0,0
1542234672481,85,BeanShell Sampler,200,OK,Thread Group 1-10,text,true,,0,0,8,8,null,0,0,0
1542234672494,86,BeanShell Sampler,200,OK,Thread Group 1-11,text,true,,0,0,8,8,null,0,0,0
1542234672511,84,BeanShell Sampler,200,OK,Thread Group 1-7,text,true,,0,0,8,8,null,0,0,0
1542234672522,82,BeanShell Sampler,200,OK,Thread Group 1-4,text,true,,0,0,9,9,null,0,0,0
1542234672526,92,BeanShell Sampler,200,OK,Thread Group 1-8,text,true,,0,0,8,8,null,0,0,0
1542234672548,84,BeanShell Sampler,200,OK,Thread Group 1-9,text,true,,0,0,8,8,null,0,0,0
1542234672552,84,BeanShell Sampler,200,OK,Thread Group 1-5,text,true,,0,0,8,8,null,0,0,0
1542234672563,82,BeanShell Sampler,200,OK,Thread Group 1-6,text,true,,0,0,8,8,null,0,0,0
1542234672566,83,BeanShell Sampler,200,OK,Thread Group 1-10,text,true,,0,0,8,8,null,0,0,0
1542234672581,82,BeanShell Sampler,200,OK,Thread Group 1-11,text,true,,0,0,8,8,null,0,0,0
1542234672595,84,BeanShell Sampler,200,OK,Thread Group 1-7,text,true,,0,0,8,8,null,0,0,0
1542234672598,84,BeanShell Sampler,200,OK,Thread Group 1-12,text,true,,0,0,8,8,null,0,0,0
1542234672618,84,BeanShell Sampler,200,OK,Thread Group 1-8,text,true,,0,0,9,9,null,0,0,0
1542234672632,88,BeanShell Sampler,200,OK,Thread Group 1-9,text,true,,0,0,9,9,null,0,0,0
1542234672636,84,BeanShell Sampler,200,OK,Thread Group 1-5,text,true,,0,0,9,9,null,0,0,0
1542234672649,85,BeanShell Sampler,200,OK,Thread Group 1-10,text,true,,0,0,8,8,null,0,0,0
1542234672646,88,BeanShell Sampler,200,OK,Thread Group 1-6,text,true,,0,0,8,8,null,0,0,0
1542234672664,86,BeanShell Sampler,200,OK,Thread Group 1-11,text,true,,0,0,8,8,null,0,0,0
1542234672679,85,BeanShell Sampler,200,OK,Thread Group 1-7,text,true,,0,0,8,8,null,0,0,0
